Employee_ID,Age,Gender,Country,Industry,Work_Mode,Work_Hours_Per_Week,Stress_Level,Sleep_Hours,Productivity_Score,Physical_Activity_Hours,Mental_Health_Support_Access,Burnout_Risk,productivity_level
EMP_0279,38,Male,USA,Manufacturing,On-site,62,5,7.8,72,7.7,No,High,Alta
EMP_0280,47,Male,Japan,Education,Hybrid,39,5,4.5,45,5.1,Yes,Low,Media
EMP_0281,56,Female,Singapore,Education,Hybrid,34,5,8.2,86,9.5,Yes,Low,Alta
EMP_0282,37,Male,Singapore,Manufacturing,On-site,33,5,8.0,82,7.4,Yes,Low,Alta
EMP_0283,30,Non-binary,USA,Finance,On-site,52,9,7.1,92,7.2,Yes,Medium,Alta
EMP_0284,30,Non-binary,Australia,Healthcare,Remote,31,6,8.8,57,5.2,No,High,Media
EMP_0285,58,Non-binary,UK,Retail,On-site,62,6,4.3,94,5.7,No,Low,Alta
EMP_0286,38,Male,Canada,Healthcare,Hybrid,37,4,8.4,40,0.4,Yes,Low,Baja
EMP_0287,24,Female,France,Retail,Remote,41,1,7.3,98,7.1,No,Low,Alta
EMP_0288,42,Male,Singapore,Healthcare,On-site,47,2,7.4,47,5.0,Yes,Low,Media
EMP_0289,36,Non-binary,USA,Retail,Remote,59,5,8.6,59,3.3,No,Low,Media
EMP_0290,45,Male,Australia,Education,On-site,45,8,6.2,71,10.0,Yes,High,Alta
EMP_0291,56,Male,Germany,Manufacturing,On-site,31,4,7.2,80,8.4,Yes,Medium,Alta
EMP_0292,22,Non-binary,Singapore,Healthcare,Hybrid,49,2,5.2,55,4.2,Yes,Low,Media
EMP_0293,39,Male,USA,Finance,Hybrid,56,6,6.8,87,0.8,Yes,High,Alta
EMP_0294,30,Non-binary,Singapore,Manufacturing,Hybrid,33,7,8.0,48,2.4,No,Medium,Media
EMP_0295,47,Non-binary,France,Tech,On-site,47,4,4.4,52,1.4,Yes,Low,Media
EMP_0296,28,Male,India,Retail,On-site,56,2,7.2,89,2.1,No,Medium,Alta
EMP_0297,38,Male,UK,Finance,Hybrid,49,10,4.2,93,8.6,Yes,Low,Alta
EMP_0298,37,Female,Singapore,Education,Remote,49,5,8.9,51,0.3,No,Medium,Media
EMP_0299,57,Non-binary,Japan,Finance,Remote,59,2,8.8,48,1.2,Yes,Low,Media
EMP_0300,30,Male,Singapore,Tech,Hybrid,35,10,7.5,98,8.1,Yes,Low,Alta
EMP_0301,34,Non-binary,India,Finance,Remote,51,2,4.3,69,0.5,No,High,Media
EMP_0302,47,Female,USA,Retail,Hybrid,57,3,6.1,98,1.9,No,Medium,Alta
EMP_0303,31,Male,Canada,Education,Hybrid,45,5,7.0,96,5.5,Yes,Low,Alta
EMP_0304,39,Female,Germany,Retail,Remote,63,4,7.8,91,5.4,Yes,Medium,Alta
EMP_0305,44,Female,Japan,Retail,On-site,62,6,6.3,51,0.3,Yes,Low,Media
EMP_0306,39,Male,India,Education,On-site,44,3,4.6,82,2.4,Yes,Low,Alta
EMP_0307,58,Female,France,Finance,Remote,45,10,5.9,87,7.0,Yes,High,Alta
EMP_0308,44,Non-binary,Canada,Finance,Hybrid,42,8,7.3,51,4.9,Yes,Low,Media
EMP_0309,36,Non-binary,Brazil,Manufacturing,Hybrid,60,1,6.0,79,2.0,Yes,Medium,Alta
EMP_0310,33,Female,USA,Manufacturing,Remote,39,2,9.1,95,3.6,Yes,Medium,Alta
EMP_0311,47,Non-binary,UK,Tech,On-site,50,3,9.9,86,9.5,No,High,Alta
EMP_0312,42,Male,Japan,Healthcare,Hybrid,52,4,8.0,92,1.8,No,High,Alta
EMP_0313,40,Male,Germany,Healthcare,Remote,55,10,4.2,78,3.2,Yes,High,Alta
EMP_0314,58,Male,India,Finance,On-site,34,4,6.1,60,1.7,Yes,High,Media
EMP_0315,43,Female,USA,Tech,Remote,45,2,6.1,90,1.1,Yes,Low,Alta
EMP_0316,46,Female,Singapore,Finance,On-site,61,7,6.1,64,1.0,No,High,Media
EMP_0317,36,Male,India,Manufacturing,Remote,48,1,5.9,100,1.0,No,Low,Alta
EMP_0318,46,Male,UK,Education,Remote,51,10,9.9,97,4.8,Yes,Medium,Alta
EMP_0319,32,Non-binary,Singapore,Finance,Remote,36,6,5.2,52,4.1,No,High,Media
EMP_0320,40,Female,Brazil,Manufacturing,Remote,55,10,7.3,71,1.5,No,Low,Alta
EMP_0321,49,Male,Australia,Healthcare,Hybrid,60,4,4.6,53,1.7,No,Low,Media
EMP_0322,52,Male,Australia,Retail,On-site,61,5,4.5,74,3.9,No,Medium,Alta
EMP_0323,45,Male,India,Manufacturing,On-site,58,8,5.6,93,2.7,Yes,Low,Alta
EMP_0324,28,Male,France,Education,On-site,44,9,4.4,64,8.2,No,High,Media
EMP_0325,52,Non-binary,Brazil,Retail,On-site,35,7,9.4,85,0.3,Yes,Low,Alta
EMP_0326,50,Male,Germany,Finance,Remote,38,1,6.5,83,4.4,Yes,High,Alta
EMP_0327,38,Female,UK,Manufacturing,On-site,55,9,6.0,57,5.2,Yes,High,Media
EMP_0328,59,Non-binary,Singapore,Manufacturing,On-site,39,3,7.4,77,7.6,Yes,Low,Alta
EMP_0329,58,Male,Australia,Education,On-site,56,5,6.3,71,5.7,No,Low,Alta
EMP_0330,33,Female,Singapore,Finance,Hybrid,55,1,6.4,96,3.3,Yes,Low,Alta
EMP_0331,52,Female,France,Manufacturing,On-site,49,5,5.7,71,8.6,Yes,Low,Alta
EMP_0332,30,Female,India,Tech,On-site,56,10,7.9,52,4.4,No,High,Media
EMP_0333,53,Non-binary,France,Manufacturing,Hybrid,40,2,5.9,72,4.0,Yes,Low,Alta
EMP_0334,34,Male,USA,Finance,Remote,59,1,9.5,85,2.0,No,Medium,Alta
EMP_0335,54,Female,UK,Healthcare,Remote,45,6,6.9,68,1.8,No,High,Media
EMP_0336,57,Female,France,Finance,On-site,35,5,4.2,43,1.6,Yes,Low,Media
EMP_0337,36,Non-binary,Brazil,Tech,Hybrid,56,9,4.1,89,9.7,Yes,Medium,Alta
EMP_0338,30,Non-binary,Germany,Education,Remote,44,5,7.7,100,3.1,No,Medium,Alta
EMP_0339,46,Female,India,Tech,Remote,59,5,8.1,92,6.2,Yes,Low,Alta
EMP_0340,54,Non-binary,France,Education,Hybrid,48,5,8.1,70,0.6,No,High,Media
EMP_0341,42,Female,Australia,Healthcare,Hybrid,49,4,4.9,88,2.4,Yes,High,Alta
EMP_0342,47,Non-binary,France,Healthcare,Remote,31,8,10.0,56,9.1,No,Medium,Media
EMP_0343,24,Non-binary,Canada,Finance,On-site,44,9,7.8,70,9.1,No,High,Media
EMP_0344,41,Male,Japan,Finance,On-site,36,8,4.8,56,7.3,Yes,High,Media
EMP_0345,43,Non-binary,UK,Finance,On-site,44,5,6.5,96,3.3,No,High,Alta
EMP_0346,40,Female,UK,Retail,Remote,34,8,9.3,72,1.2,No,High,Alta
EMP_0347,41,Female,USA,Finance,Remote,42,6,6.5,76,8.9,No,Low,Alta
EMP_0348,42,Non-binary,Germany,Manufacturing,On-site,51,3,5.9,43,0.0,No,Low,Media
EMP_0349,32,Non-binary,Germany,Retail,Remote,38,10,6.6,67,4.0,No,Medium,Media
EMP_0350,22,Male,Japan,Finance,Hybrid,53,1,9.4,88,8.3,Yes,Low,Alta
EMP_0351,22,Non-binary,Brazil,Finance,Hybrid,52,5,4.8,64,5.0,No,Low,Media
EMP_0352,26,Male,Australia,Tech,On-site,63,10,7.1,67,8.9,Yes,Medium,Media
EMP_0353,53,Female,Brazil,Finance,On-site,31,4,5.3,48,2.1,Yes,High,Media
EMP_0354,54,Male,UK,Tech,Hybrid,32,7,9.3,56,7.7,Yes,High,Media
EMP_0355,25,Non-binary,UK,Healthcare,Remote,33,2,6.5,64,1.2,No,Medium,Media
EMP_0356,31,Male,USA,Tech,On-site,36,9,5.6,78,7.0,No,Low,Alta
EMP_0357,54,Non-binary,Canada,Manufacturing,On-site,37,2,7.0,78,2.0,No,High,Alta
EMP_0358,34,Female,Singapore,Tech,Remote,32,9,7.0,53,6.9,No,Medium,Media
EMP_0359,37,Male,USA,Healthcare,Remote,37,10,8.0,49,9.5,Yes,High,Media
EMP_0360,28,Female,Brazil,Retail,On-site,46,8,4.3,92,1.7,Yes,Medium,Alta
EMP_0361,45,Non-binary,France,Retail,Hybrid,37,2,9.1,96,0.5,Yes,High,Alta
EMP_0362,32,Female,France,Retail,Hybrid,47,2,6.2,61,1.8,No,Medium,Media
EMP_0363,51,Female,Singapore,Healthcare,On-site,56,3,4.7,84,7.3,Yes,Low,Alta
EMP_0364,48,Non-binary,India,Education,Hybrid,58,3,7.7,89,3.6,Yes,High,Alta
EMP_0365,30,Female,India,Manufacturing,On-site,58,1,4.4,81,3.1,Yes,High,Alta
EMP_0366,43,Non-binary,Japan,Healthcare,Hybrid,36,7,8.0,55,4.8,No,Low,Media
EMP_0367,57,Non-binary,USA,Manufacturing,Hybrid,40,9,9.1,94,5.0,Yes,Low,Alta
EMP_0368,53,Female,Brazil,Tech,On-site,33,9,5.3,81,3.8,Yes,Low,Alta
EMP_0369,51,Female,Canada,Retail,Remote,61,8,5.9,71,7.5,Yes,Low,Alta
EMP_0370,47,Female,USA,Education,Hybrid,30,2,8.8,79,6.4,Yes,High,Alta
EMP_0371,51,Female,France,Manufacturing,Remote,59,6,7.4,79,6.0,No,High,Alta
EMP_0372,50,Male,UK,Healthcare,Remote,30,6,6.1,80,9.6,No,High,Alta
EMP_0373,55,Female,UK,Manufacturing,Remote,61,3,8.9,87,7.2,Yes,Medium,Alta
EMP_0374,34,Male,UK,Retail,Remote,59,4,8.3,46,7.6,Yes,High,Media
EMP_0375,59,Male,India,Retail,Hybrid,62,3,9.8,40,5.3,Yes,High,Baja
EMP_0376,49,Non-binary,India,Education,Remote,41,3,4.6,82,6.0,No,High,Alta
EMP_0377,46,Female,Canada,Healthcare,Remote,47,7,9.8,58,4.5,Yes,Low,Media
EMP_0378,48,Non-binary,Japan,Tech,Hybrid,50,9,7.8,52,2.1,No,High,Media
EMP_0379,44,Non-binary,Germany,Healthcare,Hybrid,41,9,7.3,80,3.2,Yes,Medium,Alta
EMP_0380,57,Female,Canada,Education,Hybrid,56,9,5.7,94,4.2,Yes,High,Alta
EMP_0381,28,Male,Singapore,Finance,Remote,33,4,5.6,90,1.6,No,High,Alta
EMP_0382,38,Male,USA,Healthcare,On-site,43,9,4.2,92,4.5,Yes,High,Alta
EMP_0383,57,Female,Brazil,Education,Hybrid,48,1,9.6,64,4.2,No,High,Media
EMP_0384,25,Male,Australia,Finance,Hybrid,58,4,9.5,85,7.1,No,High,Alta
EMP_0385,56,Non-binary,Canada,Finance,Hybrid,42,5,6.7,83,0.7,Yes,High,Alta
EMP_0386,54,Male,Singapore,Manufacturing,On-site,47,9,5.6,50,5.8,No,Low,Media
EMP_0387,43,Female,Germany,Manufacturing,Remote,50,10,4.3,99,6.3,No,Medium,Alta
EMP_0388,58,Non-binary,France,Manufacturing,Hybrid,50,9,5.3,51,5.2,Yes,Medium,Media
EMP_0389,56,Non-binary,Singapore,Manufacturing,On-site,44,4,8.0,61,3.6,Yes,High,Media
EMP_0390,55,Female,Japan,Healthcare,Remote,37,6,6.7,97,6.4,Yes,Low,Alta
EMP_0391,42,Female,UK,Retail,On-site,64,5,4.1,73,8.2,No,High,Alta
EMP_0392,54,Female,India,Manufacturing,On-site,42,6,7.1,100,1.0,Yes,High,Alta
EMP_0393,26,Male,Brazil,Healthcare,On-site,36,4,7.2,84,8.8,No,High,Alta
EMP_0394,26,Non-binary,Germany,Manufacturing,On-site,51,1,4.5,43,1.8,No,High,Media
EMP_0395,26,Non-binary,Brazil,Tech,On-site,54,8,7.8,67,3.2,No,High,Media
EMP_0396,29,Non-binary,USA,Healthcare,Hybrid,34,10,4.3,94,0.7,Yes,Medium,Alta
EMP_0397,41,Non-binary,UK,Tech,On-site,54,7,8.9,41,4.7,Yes,Low,Media
EMP_0398,47,Non-binary,Australia,Healthcare,Remote,49,6,9.7,40,5.5,Yes,Low,Baja
EMP_0399,24,Male,Canada,Education,On-site,64,9,9.7,59,2.1,No,Low,Media
EMP_0400,48,Non-binary,Japan,Finance,Remote,41,4,7.7,56,1.9,Yes,High,Media
EMP_0401,58,Male,Japan,Retail,Hybrid,34,5,8.0,56,1.0,No,Medium,Media
EMP_0402,44,Male,Brazil,Manufacturing,On-site,34,4,5.9,68,3.3,No,High,Media
EMP_0403,59,Male,Canada,Education,On-site,50,7,5.0,60,2.5,Yes,High,Media
EMP_0404,49,Female,France,Finance,Hybrid,51,8,6.8,62,7.7,No,High,Media
EMP_0405,28,Male,Canada,Manufacturing,On-site,38,9,5.2,86,8.9,Yes,High,Alta
EMP_0406,26,Male,Japan,Healthcare,Remote,55,10,5.3,42,5.5,No,High,Media
EMP_0407,31,Female,Singapore,Finance,Hybrid,48,3,6.8,72,0.9,No,High,Alta
EMP_0408,22,Non-binary,Brazil,Education,Hybrid,40,9,4.8,50,1.8,Yes,High,Media
EMP_0409,52,Female,USA,Finance,On-site,44,2,5.6,54,0.4,Yes,High,Media
EMP_0410,45,Female,India,Retail,Remote,32,6,4.6,73,6.3,No,High,Alta
EMP_0411,38,Non-binary,Japan,Education,Remote,54,7,6.2,81,9.0,Yes,High,Alta
EMP_0412,38,Female,Brazil,Education,On-site,52,6,6.9,70,8.9,Yes,High,Media
EMP_0413,30,Female,Germany,Finance,Remote,62,5,5.3,51,1.6,Yes,High,Media
EMP_0414,36,Female,France,Healthcare,Remote,60,8,6.9,77,1.6,No,Low,Alta
EMP_0415,37,Male,Germany,Education,Hybrid,40,3,7.8,42,8.9,Yes,Low,Media
EMP_0416,32,Female,Germany,Education,On-site,31,5,9.7,53,4.5,No,Medium,Media
EMP_0417,32,Male,Singapore,Education,Remote,41,10,8.0,56,1.7,No,Medium,Media
EMP_0418,59,Male,Brazil,Retail,On-site,38,2,4.1,73,8.6,No,Low,Alta
EMP_0419,28,Male,India,Education,Hybrid,32,9,7.0,47,0.9,Yes,High,Media
EMP_0420,56,Male,Singapore,Education,On-site,53,1,8.2,67,2.3,No,Medium,Media
EMP_0421,44,Non-binary,Canada,Manufacturing,On-site,38,5,6.9,54,9.1,Yes,Medium,Media
EMP_0422,56,Female,Australia,Finance,Remote,30,10,7.1,73,0.1,Yes,High,Alta
EMP_0423,42,Female,France,Manufacturing,Remote,57,10,5.5,94,5.4,No,High,Alta
EMP_0424,39,Non-binary,Singapore,Finance,On-site,60,3,6.2,75,4.8,No,High,Alta
EMP_0425,44,Non-binary,Singapore,Healthcare,Remote,37,4,6.7,84,9.5,Yes,Low,Alta
EMP_0426,54,Female,France,Education,Hybrid,33,3,6.3,80,0.1,Yes,Low,Alta
EMP_0427,52,Non-binary,Singapore,Manufacturing,Remote,46,4,6.2,78,0.4,No,Medium,Alta
EMP_0428,55,Female,Canada,Manufacturing,Remote,61,8,4.1,94,6.6,No,Low,Alta
EMP_0429,24,Non-binary,Japan,Education,Hybrid,44,10,5.0,42,3.6,Yes,Low,Media
EMP_0430,27,Female,Singapore,Tech,Hybrid,55,7,7.5,73,0.2,Yes,Low,Alta
EMP_0431,57,Female,Japan,Education,On-site,52,5,5.4,52,4.5,No,High,Media
EMP_0432,22,Female,Germany,Retail,Hybrid,36,9,4.4,58,3.4,Yes,High,Media
EMP_0433,38,Non-binary,Canada,Tech,Hybrid,58,7,7.4,89,2.4,No,Medium,Alta
EMP_0434,51,Non-binary,USA,Retail,Remote,46,2,6.3,90,9.9,Yes,Medium,Alta
EMP_0435,48,Female,Japan,Education,Remote,46,4,5.7,65,6.7,No,Low,Media
EMP_0436,57,Male,India,Tech,On-site,43,10,5.6,100,7.5,Yes,Medium,Alta
EMP_0437,34,Male,Brazil,Tech,Remote,44,4,9.0,93,6.2,Yes,Low,Alta
EMP_0438,29,Male,India,Education,Remote,64,1,9.1,63,6.2,No,High,Media
EMP_0439,39,Female,Germany,Education,On-site,55,4,8.5,48,0.5,No,Medium,Media
EMP_0440,56,Male,Japan,Tech,On-site,41,8,9.9,84,5.2,No,High,Alta
EMP_0441,22,Male,Brazil,Retail,Hybrid,36,6,6.2,95,2.6,No,Low,Alta
EMP_0442,39,Female,Canada,Tech,On-site,41,8,6.5,66,7.0,No,Medium,Media
EMP_0443,47,Female,India,Finance,Hybrid,38,10,8.1,92,1.0,No,Low,Alta
EMP_0444,57,Female,Singapore,Finance,Remote,39,8,8.8,51,4.2,Yes,High,Media
EMP_0445,55,Non-binary,France,Retail,On-site,46,9,9.2,43,4.0,Yes,Low,Media
EMP_0446,35,Female,India,Healthcare,Remote,58,6,5.6,63,5.6,No,Medium,Media
EMP_0447,23,Female,UK,Tech,Hybrid,42,10,7.5,81,5.4,No,Medium,Alta
EMP_0448,42,Non-binary,Japan,Retail,Hybrid,58,2,6.3,58,4.6,Yes,Low,Media
EMP_0449,43,Female,Canada,Education,On-site,34,2,5.0,54,3.1,No,High,Media
EMP_0450,39,Non-binary,Singapore,Tech,On-site,53,10,7.1,68,4.1,Yes,Low,Media
EMP_0451,30,Non-binary,Brazil,Healthcare,On-site,35,4,5.0,46,1.0,No,High,Media
EMP_0452,25,Male,Singapore,Education,Remote,36,5,7.7,45,6.5,No,Medium,Media
EMP_0453,36,Male,Australia,Retail,Hybrid,38,3,7.2,50,0.3,No,Medium,Media
EMP_0454,52,Female,Japan,Tech,Hybrid,58,3,9.8,84,5.4,No,High,Alta
EMP_0455,58,Female,Japan,Healthcare,Hybrid,64,5,9.5,70,5.4,Yes,Medium,Media
EMP_0456,41,Female,Singapore,Tech,Remote,49,1,4.0,92,7.6,Yes,Medium,Alta
EMP_0457,40,Female,Japan,Manufacturing,Hybrid,61,8,5.8,89,4.3,No,High,Alta
EMP_0458,36,Male,Japan,Tech,Remote,56,9,6.6,55,1.6,No,Medium,Media
EMP_0459,36,Female,UK,Retail,Hybrid,45,9,8.6,98,6.1,No,Medium,Alta
EMP_0460,56,Female,Singapore,Finance,Remote,41,3,5.7,80,4.6,No,Medium,Alta
EMP_0461,53,Male,France,Manufacturing,Remote,33,9,4.1,46,2.8,Yes,High,Media
EMP_0462,50,Non-binary,USA,Finance,Remote,39,1,7.0,61,4.2,No,Medium,Media
EMP_0463,51,Non-binary,USA,Tech,Remote,39,1,5.6,65,0.7,No,Low,Media
EMP_0464,34,Female,Singapore,Manufacturing,Remote,45,7,8.6,68,2.5,Yes,Low,Media
EMP_0465,51,Non-binary,UK,Education,Hybrid,43,8,6.3,59,9.4,Yes,High,Media
EMP_0466,24,Non-binary,Japan,Education,Remote,46,8,7.8,52,3.6,Yes,High,Media
EMP_0467,35,Male,Brazil,Healthcare,On-site,50,1,5.0,57,5.8,No,Low,Media
EMP_0468,22,Male,Canada,Healthcare,On-site,39,6,8.6,55,1.6,Yes,High,Media
EMP_0469,43,Non-binary,USA,Manufacturing,On-site,39,9,8.7,48,4.9,No,High,Media
EMP_0470,44,Female,Brazil,Manufacturing,Hybrid,54,6,8.3,56,9.0,No,High,Media
EMP_0471,50,Non-binary,Australia,Education,Hybrid,61,4,7.4,74,3.5,No,Medium,Alta
EMP_0472,57,Male,UK,Education,Remote,58,5,8.9,74,3.7,Yes,High,Alta
EMP_0473,54,Female,Germany,Manufacturing,Hybrid,53,10,5.4,86,0.6,No,Low,Alta
EMP_0474,55,Non-binary,India,Education,Remote,48,6,6.5,60,1.1,Yes,Low,Media
EMP_0475,30,Male,USA,Finance,Remote,61,4,4.6,76,6.4,No,High,Alta
EMP_0476,53,Non-binary,Canada,Healthcare,Hybrid,46,1,6.2,78,7.2,Yes,Low,Alta
EMP_0477,53,Male,India,Healthcare,Remote,53,9,8.5,96,4.2,No,High,Alta
EMP_0478,25,Non-binary,Australia,Education,Remote,34,5,4.5,53,9.6,Yes,Low,Media
EMP_0479,36,Non-binary,Singapore,Finance,Remote,63,4,7.4,100,1.8,No,High,Alta
EMP_0480,28,Non-binary,Canada,Tech,Hybrid,59,7,9.3,50,7.9,No,High,Media
EMP_0481,43,Non-binary,Germany,Education,Hybrid,58,6,9.4,75,9.9,No,Medium,Alta
EMP_0482,48,Non-binary,Singapore,Healthcare,On-site,45,10,7.3,64,7.7,No,Medium,Media
EMP_0483,50,Female,Singapore,Manufacturing,Hybrid,32,5,7.6,73,1.4,No,Low,Alta
EMP_0484,41,Male,Brazil,Tech,Remote,47,9,7.1,76,9.3,Yes,Low,Alta
EMP_0485,24,Female,France,Finance,Remote,46,6,9.3,55,2.3,No,Low,Media
EMP_0486,58,Female,Canada,Finance,Hybrid,34,6,8.8,51,4.9,Yes,High,Media
EMP_0487,41,Male,Canada,Retail,Remote,33,6,6.1,92,4.3,Yes,Low,Alta
EMP_0488,22,Non-binary,Singapore,Manufacturing,On-site,63,1,5.9,76,1.5,Yes,Low,Alta
EMP_0489,25,Non-binary,Singapore,Retail,Hybrid,62,2,5.3,58,7.9,Yes,Low,Media
EMP_0490,43,Male,India,Education,Hybrid,33,9,6.4,45,4.0,No,High,Media
EMP_0491,30,Male,India,Education,Remote,61,7,7.9,52,5.6,Yes,Low,Media
EMP_0492,26,Female,Singapore,Tech,Hybrid,35,2,8.0,67,3.7,Yes,Medium,Media
EMP_0493,44,Non-binary,USA,Tech,Remote,52,10,8.9,91,4.4,Yes,Medium,Alta
EMP_0494,24,Male,Brazil,Healthcare,On-site,39,2,4.7,43,2.4,Yes,Medium,Media
EMP_0495,22,Female,UK,Tech,On-site,60,1,6.0,87,5.4,Yes,High,Alta
EMP_0496,55,Female,Japan,Retail,Hybrid,39,1,6.3,97,6.6,Yes,Medium,Alta
EMP_0497,32,Male,Australia,Finance,Hybrid,47,1,6.8,100,0.1,No,High,Alta
EMP_0498,39,Non-binary,France,Manufacturing,Remote,48,7,5.4,64,5.1,Yes,Medium,Media
EMP_0499,53,Non-binary,Japan,Manufacturing,Remote,42,9,9.8,75,9.3,Yes,Low,Alta
EMP_0500,37,Non-binary,Australia,Tech,On-site,55,3,4.1,83,3.5,No,Low,Alta
EMP_0501,54,Female,USA,Healthcare,On-site,54,1,9.7,100,2.8,Yes,Medium,Alta
EMP_0502,47,Non-binary,Germany,Manufacturing,Hybrid,54,9,9.8,79,8.7,Yes,Medium,Alta
EMP_0503,37,Non-binary,Germany,Retail,On-site,51,8,7.3,53,6.5,Yes,Low,Media
EMP_0504,41,Non-binary,Japan,Finance,On-site,39,10,9.5,60,0.7,Yes,Low,Media
EMP_0505,42,Male,USA,Tech,On-site,56,5,6.7,99,8.2,No,Low,Alta
EMP_0506,34,Male,Germany,Finance,Remote,47,10,7.4,54,6.0,Yes,High,Media
EMP_0507,23,Female,UK,Healthcare,On-site,38,9,9.1,70,7.1,No,Low,Media
EMP_0508,46,Female,India,Finance,Remote,42,4,4.2,88,9.7,No,Medium,Alta
EMP_0509,36,Non-binary,Brazil,Finance,Remote,41,8,9.2,71,6.9,No,Low,Alta
EMP_0510,49,Female,USA,Education,Hybrid,54,6,6.4,100,7.4,Yes,High,Alta
EMP_0511,28,Female,India,Manufacturing,Remote,63,9,6.4,87,0.4,No,High,Alta
EMP_0512,25,Male,Australia,Retail,On-site,49,5,6.8,67,2.9,Yes,High,Media
EMP_0513,55,Male,India,Healthcare,On-site,35,9,4.7,89,5.9,Yes,Medium,Alta
EMP_0514,48,Female,India,Manufacturing,Remote,59,10,9.4,97,2.0,No,Low,Alta
EMP_0515,38,Female,Germany,Healthcare,Hybrid,37,2,4.7,68,6.3,Yes,High,Media
EMP_0516,46,Non-binary,Japan,Education,Remote,54,9,6.3,89,1.7,No,High,Alta
EMP_0517,31,Male,Germany,Finance,Hybrid,33,7,5.8,86,7.7,No,Medium,Alta
EMP_0518,33,Male,Germany,Finance,Remote,46,1,6.8,94,5.0,Yes,High,Alta
EMP_0519,53,Male,Brazil,Education,Hybrid,60,8,6.5,45,6.0,Yes,Low,Media
EMP_0520,57,Female,Canada,Healthcare,Hybrid,43,1,5.1,43,6.5,Yes,Low,Media
EMP_0521,24,Non-binary,Canada,Education,On-site,51,2,4.3,66,9.9,Yes,High,Media
EMP_0522,40,Non-binary,Canada,Education,Hybrid,41,8,8.5,63,9.3,Yes,Medium,Media
EMP_0523,42,Female,Singapore,Manufacturing,On-site,34,5,6.8,47,6.9,No,Medium,Media
EMP_0524,55,Female,Japan,Finance,Hybrid,43,10,4.3,76,7.3,Yes,Medium,Alta
EMP_0525,40,Female,Canada,Tech,On-site,63,10,10.0,62,9.3,No,High,Media
EMP_0526,53,Female,Germany,Education,Remote,48,4,4.0,41,4.6,Yes,High,Media
EMP_0527,35,Non-binary,Singapore,Retail,Remote,51,6,7.4,80,2.1,Yes,High,Alta
EMP_0528,40,Female,UK,Tech,On-site,62,9,5.9,40,1.1,No,Medium,Baja
EMP_0529,47,Non-binary,Canada,Education,Remote,41,4,6.0,61,9.2,No,Medium,Media
EMP_0530,24,Non-binary,Germany,Retail,Remote,59,9,9.4,69,7.8,No,High,Media
EMP_0531,25,Non-binary,Australia,Education,Hybrid,50,9,7.2,53,5.8,No,Medium,Media
EMP_0532,26,Male,Australia,Manufacturing,On-site,54,9,9.1,76,6.1,Yes,High,Alta
EMP_0533,29,Female,France,Healthcare,Remote,47,7,4.5,96,2.4,No,Medium,Alta
EMP_0534,35,Non-binary,Australia,Finance,Remote,53,1,8.7,98,0.9,Yes,Medium,Alta
EMP_0535,54,Male,Brazil,Tech,On-site,63,5,8.7,49,7.7,Yes,High,Media
EMP_0536,30,Male,USA,Retail,On-site,63,2,4.0,99,0.4,Yes,Medium,Alta
EMP_0537,51,Male,UK,Education,Hybrid,49,1,7.5,59,6.4,Yes,Medium,Media
EMP_0538,34,Male,Australia,Tech,Hybrid,50,8,8.0,57,1.5,No,Low,Media
EMP_0539,22,Non-binary,Japan,Education,Remote,43,9,6.1,60,2.7,No,High,Media
EMP_0540,37,Male,UK,Tech,Hybrid,51,9,6.7,48,0.3,Yes,Low,Media
EMP_0541,46,Male,UK,Retail,On-site,41,10,9.3,80,8.4,No,High,Alta
EMP_0542,44,Female,France,Finance,Hybrid,64,2,9.8,88,7.6,Yes,Low,Alta
EMP_0543,51,Male,India,Tech,Hybrid,59,8,5.4,54,1.4,No,Medium,Media
EMP_0544,47,Male,France,Tech,On-site,61,1,4.4,47,3.5,No,Low,Media
EMP_0545,40,Female,Canada,Education,Remote,62,2,6.4,85,8.0,No,High,Alta
EMP_0546,26,Female,Japan,Retail,On-site,56,4,7.7,75,1.6,No,Medium,Alta
EMP_0547,26,Female,Brazil,Healthcare,Hybrid,57,7,7.4,61,5.4,Yes,Low,Media
EMP_0548,26,Non-binary,Canada,Retail,Remote,59,6,7.3,92,4.5,No,Medium,Alta
EMP_0549,26,Non-binary,UK,Healthcare,Hybrid,54,6,7.0,82,0.6,Yes,Low,Alta
EMP_0550,59,Non-binary,USA,Finance,Hybrid,39,8,7.2,64,6.2,No,Low,Media
EMP_0551,35,Non-binary,France,Tech,Hybrid,49,7,8.3,98,3.4,Yes,High,Alta
EMP_0552,22,Non-binary,Japan,Retail,Remote,48,1,6.2,75,9.7,Yes,High,Alta
EMP_0553,57,Female,UK,Tech,Remote,45,7,8.2,65,6.3,No,Medium,Media
EMP_0554,46,Female,Japan,Finance,Hybrid,41,8,4.8,75,3.8,No,Medium,Alta
EMP_0555,31,Female,Germany,Finance,Remote,34,1,4.9,96,4.9,No,Low,Alta
EMP_0556,27,Male,Singapore,Retail,Hybrid,57,10,5.1,72,4.2,No,Medium,Alta
EMP_0557,44,Male,Germany,Retail,Hybrid,30,10,7.0,86,2.4,No,Medium,Alta
EMP_0558,56,Non-binary,France,Manufacturing,Remote,60,6,4.7,70,9.6,Yes,Low,Media
EMP_0559,55,Female,India,Education,Remote,63,10,4.5,70,6.3,Yes,High,Media
